"","CD","R","T","P_T","L05","L95","sd","P_T_L05","P_T_U95"
"1",0,13157763,5318813.82691002,0.404233898034948,5317387.80443728,5320240.65785055,727.768727876667,0.404125519241932,0.404342338272133
"2",1,371592,160265.638465816,0.431294641611811,160026.356748154,160505.782772761,122.302557297896,0.430650704934858,0.431940899623139
"3",2,373723,165278.851533223,0.442249611432059,165038.894401948,165519.693163722,122.652745350454,0.441607539278953,0.442894050309245
"4",3,413971,186406.973217585,0.450289931462797,186154.41018432,186660.436830714,129.088430202329,0.449679833090531,0.450902205301129
"5",4,397550,166526.257111604,0.418881290684452,166278.731589087,166774.620396702,126.502246840772,0.418258663285339,0.419506025397315
"6",5,340694,137690.547620237,0.404147262999164,137461.421123987,137920.482411013,117.10747118025,0.403474734289382,0.404822164203107
"7",6,386244,157225.301856898,0.407062120982846,156981.315613918,157470.102224121,124.690461786541,0.406430431576718,0.407695918186745
"8",7,335308,152467.592339992,0.454709080427523,152240.337947766,152695.756150379,116.178112911473,0.45403133223116,0.45538954081137
"9",8,395368,173056.608259024,0.437710204819368,172809.782937687,173304.30900077,126.154607929296,0.437085912207582,0.438336711622514
"10",9,307451,113079.056005259,0.367795375540361,112861.37867294,113297.468928331,111.247514130355,0.367087368956157,0.36850577467086
"11",10,428344,201153.856522868,0.4696082039736,200896.957995981,201411.694266163,131.310273005559,0.469008455811172,0.470210144804555
"12",11,371977,146643.811635749,0.394228169042035,146404.368702524,146884.043025312,122.365898670291,0.393584465444165,0.394873992277242
"13",12,390198,173899.386191077,0.445669599001218,173654.190807246,174145.472914107,125.327068076735,0.445041211916119,0.446300270411705
"14",13,352205,140200.076666402,0.398063845392319,139967.098731161,140433.850729333,119.069387288842,0.397402361497313,0.398727589697288
"15",14,382304,155875.42462084,0.407726376446075,155632.68874158,156118.975952853,124.052860018474,0.407091447490951,0.408363438396807
"16",15,329481,111130.540039296,0.337289676913982,110905.155469451,111356.599188494,115.164214041332,0.33660561753015,0.337975783697675
"17",16,346372,97870.99504585,0.282560354318045,97639.8421893643,98102.7130230443,118.079294306116,0.281892999980842,0.28322934019795
"18",17,349907,152742.493546672,0.436523114846722,152510.316660237,152975.543479337,118.680310994859,0.4358595760023,0.437189148771922
"19",18,331695,119019.792011216,0.358822991034584,118793.671857476,119246.629810939,115.550498332586,0.358141279963447,0.359506865677623
"20",19,345914,132131.098573406,0.38197672997741,131900.198194865,132362.762905407,118.001201668834,0.381309221930494,0.382646446531238
"21",20,356372,123663.256027929,0.347006094833288,123428.850537884,123898.355530163,119.77168170394,0.346348339762618,0.347665797341438
"22",21,459392,232386.512319474,0.505856680829169,232120.485692861,232653.550659448,135.985960863914,0.505277596677481,0.50643796726858
"23",22,432405,185224.858473823,0.428359659286601,184966.701561662,185483.872105302,131.931261132849,0.427762633553408,0.428958666308906
"24",23,393324,138427.655786939,0.351943069293862,138181.384685201,138674.630774815,125.828084085181,0.351316941466072,0.352570986705147
"25",24,354881,161986.77275878,0.456453776783709,161752.968313458,162221.490111655,119.520866887046,0.455794951866845,0.457115174133456
"26",25,421198,200928.30592371,0.477040028498971,200673.570675269,201183.995252208,130.210351259895,0.476435241086778,0.477647081069254
"27",26,427110,190928.795916913,0.447024878642301,190672.24579514,191186.240088444,131.120993189842,0.446424213423098,0.447627637115599
"28",27,366609,142623.778409474,0.389035125731976,142386.067117049,142862.26777215,121.479758954386,0.38838672023068,0.389685653576837
"29",28,350581,111554.579708736,0.318199159990803,111322.060573115,111787.735242676,118.794558561646,0.317535920580735,0.31886421466844
"30",29,248618,72235.5668426454,0.290548419030985,72039.7812658789,72431.9335162499,100.038839380353,0.289760923448338,0.291338251921622
"31",30,346309,131816.819680118,0.380633537332607,131585.785945131,132048.61468218,118.068555369607,0.379966405565927,0.381302867329984
"32",31,403391,176533.68918967,0.437624263282199,176284.367591346,176783.88603652,127.428174789052,0.437006198926963,0.438244497364888
"33",32,364434,167025.994847689,0.458316169313755,166789.060182002,167263.846145715,121.118868294096,0.457666025074504,0.458968828774797
"34",33,233872,74018.3567765889,0.316490887222878,73828.5008415999,74208.8456933524,97.0267478960598,0.315679093014982,0.317305387961588
"35",34,331982,98878.7015275582,0.297843562384582,98652.4224347991,99105.5763074421,115.600477715047,0.297161961897931,0.298526957206843
"36",35,335790,118811.234485314,0.353826005793247,118583.715604654,119039.461017987,116.261585033919,0.353148442790594,0.354505676220217
"37",36,381197,149104.646971648,0.391148532049434,148862.246793227,149347.829447134,123.873125996673,0.390512639903322,0.391786476407563
