"","Party","Election Type","Weeks to Election-Day","n"
"1","Dem","US House","0",1104
"2","Rep","US House","0",978
"3","Dem","US Senate","0",205
"4","Rep","US Senate","0",207
"5","Dem","US House","1",1355
"6","Rep","US House","1",1073
"7","Dem","US Senate","1",274
"8","Rep","US Senate","1",254
"9","Dem","US House","2",1131
"10","Rep","US House","2",888
"11","Dem","US Senate","2",254
"12","Rep","US Senate","2",253
"13","Dem","US House","3",986
"14","Rep","US House","3",823
"15","Dem","US Senate","3",155
"16","Rep","US Senate","3",217
"17","Dem","US House","4",827
"18","Rep","US House","4",700
"19","Dem","US Senate","4",215
"20","Rep","US Senate","4",236
"21","Dem","US House","5",785
"22","Rep","US House","5",625
"23","Dem","US Senate","5",223
"24","Rep","US Senate","5",209
"25","Dem","US House","6",702
"26","Rep","US House","6",570
"27","Dem","US Senate","6",195
"28","Rep","US Senate","6",239
